Credits,Player Type,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
8.5,BOWL,Adil Rashid,ENG,144,912,69,6.333333333,96.61,1,0,207,22.71,46,4700.97,19998,3333,1.41,6499,Bowler
8,BAT,Ben Duckett,ENG,17,732,107,43.05882353,100.13,5,2,0,0,5,0,0,0,0,854,Batsman
7,BOWL,Brydon Carse,ENG,20,202,32,10.1,80.15,0,0,23,38.17,6,877.91,1843,307,2.86,861,Bowler
7,BOWL,Gus Atkinson,ENG,2,10,6,5,66.66,0,0,3,35,0,105,200,33,3.15,93,Bowler
7,BAT,Harry Brook,ENG,21,719,110,34.23809524,106.36,5,1,0,0,2,0,0,0,0,801,Batsman
6.5,ALL,Jamie Overton,ENG,2,32,32,16,145.45,0,0,1,17,0,17,145,24,0.7,63,All-rounder
6,WK,Jamie Smith,ENG,7,133,49,19,93,0,0,0,0,7,0,0,0,0,189,Wicketkeeper
8,ALL,Joe Root,ENG,172,6541,133,38.02906977,86.67,39,16,27,59.14,85,1596.78,2340,390,4.09,8510,All-rounder
8,BOWL,Jofra Archer,ENG,28,102,38,3.642857143,100.99,0,0,48,25.41,7,1219.68,4848,808,1.51,1400,Bowler
8.5,WK,Jos Buttler,ENG,182,5074,162,27.87912088,116.8,27,11,0,0,222,0,0,0,0,7248,Wicketkeeper
7,ALL,Liam Livingstone,ENG,34,849,124,24.97058824,110.69,4,1,21,37.95,14,796.95,2324,387,2.06,1576,All-rounder
7.5,BOWL,Mark Wood,ENG,59,168,33,2.847457627,76.06,0,0,71,38,12,2698,5400,900,3,2075,Bowler
7.5,WK,Philip Salt,ENG,28,909,122,32.46428571,115.64,5,1,0,0,11,0,0,0,0,1063,Wicketkeeper
7.5,BOWL,Saqib Mahmood,ENG,10,22,12,2.2,62.85,0,0,16,26.43,1,422.88,1006,168,2.52,466,Bowler
6.5,BAT,Tom Banton,ENG,7,172,58,28.66,92.41,1,0,0,0,4,0,0,0,0,212,Batsman
8,ALL,Azmatullah Omarzai,AFG,37,907,149,25.19444444,97.21,7,1,31,32.4,6,972,2916,486,2,1777,All-rounder
5.5,BOWL,Bilal Sami,AFG,1,0,0,0,0,0,0,0,0,0,25,18,3,8.33,0,Bowler
6,BAT,Darwish Rasooli,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Batsman
7,BOWL,Fareed Ahmed Malik,AFG,19,46,17,11.5,52.87,0,0,25,27.08,3,677,751,125.1,5.41,733,Bowler
8,BOWL,FazalHaq Farooqi,AFG,40,21,6,0.538461538,31.81,0,0,50,31.85,3,1592.5,1591,265,6.01,1331,Bowler
7,ALL,Gulbadin Naib,AFG,86,1314,82,15.27906977,75.82,5,0,73,35.86,27,2617.78,5535,922,2.84,3431,All-rounder
7.5,BAT,Hashmatullah Shahidi,AFG,87,2375,97,27.29885057,67.97,22,0,0,0,18,0,0,0,0,2695,Batsman
8,BAT,Ibrahim Zadran,AFG,16,728,162,45.5,88.34,3,2,0,0,5,0,0,0,0,828,Batsman
6.5,WK,Ikram Alikhil,AFG,31,384,86,12.38709677,67.72,3,0,0,0,21,0,0,0,0,576,Wicketkeeper
8,ALL,Mohammad Nabi,AFG,170,3618,136,21.28235294,87.09,17,2,172,32.47,80,5584.84,14979,2497,2.24,8762,All-rounder
6,BOWL,Nangeyalia Kharote,AFG,7,41,27,13.67,80.39,0,0,11,16.55,1,182,296,49.2,3.69,366,Bowler
6,BOWL,Naveed Zadran,AFG,4,10,9,2.5,90.9,0,0,3,26.33,0,78.99,273,45,1.74,93,Bowler
7,BOWL,Noor Ahmad,AFG,5,15,7,3,50,0,0,8,22.75,1,182,400,67,2.73,259,Bowler
8.5,WK,Rahmanullah Gurbaz,AFG,46,1769,151,38.45652174,88.49,6,8,0,0,23,0,0,0,0,2133,Wicketkeeper
7.5,BAT,Rahmat Shah,AFG,120,3869,114,32.24166667,70.89,30,5,15,35.46,27,531.9,1063,177,3,4820,Batsman
9,BOWL,Rashid-Khan,AFG,111,1346,60,12.12612613,104.42,5,0,198,19.87,33,3934.26,20675,3446,1.14,6642,Bowler
6.5,BAT,Sediqullah Atal,AFG,6,230,104,38.33333333,83.03,1,1,0,0,4,0,0,0,0,290,Batsman
