Credits,Player Type,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
8,ALL,Azmatullah Omarzai,AFG,36,907,149,25.19444444,97.21,7,1,30,32.4,6,972,2916,486,2,1777,All-rounder
5.5,BOWL,Bilal Sami,AFG,1,0,0,0,0,0,0,0,0,0,25,18,3,8.33,0,Bowler
6,BAT,Darwish Rasooli,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Batsman
7,BOWL,Fareed Ahmed Malik,AFG,19,46,17,11.5,52.87,0,0,25,27.08,3,677,751,125.1,5.41,733,Bowler
8,BOWL,FazalHaq Farooqi,AFG,39,21,6,0.538461538,31.81,0,0,50,31.85,3,1592.5,1591,265,6.01,1331,Bowler
7,ALL,Gulbadin Naib,AFG,86,1314,82,15.27906977,75.82,5,0,73,35.86,27,2617.78,5535,922,2.84,3431,All-rounder
7.5,BAT,Hashmatullah Shahidi,AFG,87,2375,97,27.29885057,67.97,22,0,0,0,18,0,0,0,0,2695,Batsman
8,BAT,Ibrahim Zadran,AFG,16,728,162,45.5,88.34,3,2,0,0,5,0,0,0,0,828,Batsman
6.5,WK,Ikram Alikhil,AFG,31,384,86,12.38709677,67.72,3,0,0,0,21,0,0,0,0,576,Wicketkeeper
8,ALL,Mohammad Nabi,AFG,170,3618,136,21.28235294,87.09,17,2,172,32.47,80,5584.84,14979,2497,2.24,8762,All-rounder
6,BOWL,Nangeyalia Kharote,AFG,7,41,27,13.67,80.39,0,0,11,16.55,1,182,296,49.2,3.69,366,Bowler
6,BOWL,Naveed Zadran,AFG,4,10,9,2.5,90.9,0,0,3,26.33,0,78.99,273,45,1.74,93,Bowler
7,BOWL,Noor Ahmad,AFG,5,15,7,3,50,0,0,8,22.75,1,182,400,67,2.73,259,Bowler
8.5,WK,Rahmanullah Gurbaz,AFG,46,1769,151,38.45652174,88.49,6,8,0,0,23,0,0,0,0,2133,Wicketkeeper
7.5,BAT,Rahmat Shah,AFG,120,3869,114,32.24166667,70.89,30,5,15,35.46,27,531.9,1063,177,3,4820,Batsman
9,BOWL,Rashid-Khan,AFG,111,1346,60,12.12612613,104.42,5,0,198,19.87,33,3934.26,20675,3446,1.14,6642,Bowler
6.5,BAT,Sediqullah Atal,AFG,6,230,104,38.33333333,83.03,1,1,0,0,4,0,0,0,0,290,Batsman
8,ALL,Aiden Markram,SA,74,2288,175,30.91891892,96.49,11,3,20,49.7,32,994,1930,322,3.09,3220,All-rounder
6.5,ALL,Corbin Bosch,SA,2,55,40,81,103.77,0,0,2,69.5,0,139,102,17,8.18,115,All-rounder
7.5,BAT,David Miller,SA,175,4490,139,25.65714286,102.98,24,6,0,0,87,0,0,0,0,5474,Batsman
9,WK,Heinrich Klaasen,SA,57,1987,174,34.85964912,116.69,9,4,0,0,48,0,0,0,0,2507,Wicketkeeper
9,BOWL,Kagiso Rabada,SA,103,385,31,3.737864078,79.38,0,0,162,27.56,39,4464.72,12860,2143,2.08,4747,Bowler
8,BOWL,Keshav Maharaj,SA,27,183,31,6.777777778,72.22,0,0,29,31,7,899,2094,349,2.58,964,Bowler
7,BOWL,Lungi Ngidi,SA,62,123,20,1.983870968,52.56,0,0,96,28.42,15,2728.32,5046,841,3.24,2643,Bowler
8.5,ALL,Marco Jansen,SA,26,461,75,17.73076923,107.71,1,0,41,32,8,1312,4416,736,1.78,1558,All-rounder
8,BAT,Rassie van der-Dussen,SA,68,2464,134,36.23529412,86.33,14,6,1,3,29,3,86,14,0.21,2929,Batsman
7,WK,Ryan Rickelton,SA,6,188,91,31.33333333,89.52,1,0,0,0,6,0,0,0,0,244,Wicketkeeper
6.5,BOWL,Tabraiz Shamsi,SA,53,39,11,0.735849057,56.52,0,0,73,32.8,9,2394.4,4126,688,3.48,1936,Bowler
8,BAT,Temba Bavuma,SA,44,1631,144,37.06818182,88.68,4,5,0,0,28,0,0,0,0,1967,Batsman
6.5,BAT,Tony de Zorzi,SA,12,449,119,37.41666667,94.72,1,1,0,0,0,0,0,0,0,473,Batsman
7.5,BAT,Tristan Stubbs,SA,8,249,112,31.125,89.89,1,1,0,0,2,0,0,0,0,289,Batsman
7,ALL,Wiaan Mulder,SA,20,190,52,9.5,76.92,1,0,14,39.5,7,553,1077,179,3.08,604,All-rounder
