"Credits","Player Type","Player Name","Team","Matches","Runs","Highest Score","Batting Average","Strike Rate","50s","100s","Wickets","Bowling Average","Catches","Run_conceded","Ball_bowled","Over_bowled","Economy","Fantasy_score","Role"
"6.5","ALL","Aaron Hardie","AUS","11","134","44","12.18181818","84.81","0","0","7","37.71","4","263.97","594","99","2.67","377","All-rounder"
"9","BOWL","Adam Zampa","AUS","106","327","36","3.08490566","66.06","0","0","180","28.28","18","5090.4","11891","1982","2.57","5007","Bowler"
"7","WK","Alex Carey","AUS","76","1978","106","26.02631579","89.66","1","0","0","0","84","0","0","0","0","2658","Wicketkeeper"
"6.5","BOWL","Ben Dwarshuis","AUS","2","9","9","9","81.81","0","0","2","32.5","0","65","84","14","4.64","63","Bowler"
"5.5","ALL","Cooper Connolly","AUS","3","10","7","5","31.25","0","0","0","0","0","31","24","4","7.75","10","All-rounder"
"8.5","ALL","Glenn Maxwell","AUS","145","3950","201","27.24137931","26.35","23","4","75","46.66","89","3499.5","1976","329","10.62","6821","All-rounder"
"6","BAT","Jake Fraser-McGurk","AUS","6","89","41","14.83","136.92","0","0","0","0","2","0","0","0","0","111","Batsman"
"7.5","WK","Josh Inglis","AUS","26","521","62","20.03846154","101.75","3","0","0","0","25","0","0","0","0","751","Wicketkeeper"
"7.5","BAT","Marnus Labuschagne","AUS","42","3785","215","55.07","56.2","14","10","13","40.8","45","530.4","731","122","4.36","4788","Batsman"
"7","ALL","Matthew Short","AUS","33","915","134","45.75","97.86","5","1","16","44.94","17","719","784","130.4","5.5","1549","All-rounder"
"7","BOWL","Nathan Ellis","AUS","8","63","18","7.875","108.62","0","0","10","38.84","2","388.4","1086","181","0","371","Bowler"
"7.5","BOWL","Sean Abbott","AUS","27","372","69","20.67","97.89","2","0","32","37.59","13","1203","1247","207.5","5.79","1330","Bowler"
"7","BOWL","Spencer Johnson","AUS","3","12","12","12","85.71","0","0","2","66.5","0","133","138","23","5.78","64","Bowler"
"8.5","BAT","Steven Smith","AUS","102","9320","239","58.61","53.3","36","30","17","46.5","120","790.5","906","151","5.23","11473","Batsman"
"6","BOWL","Tanveer Sangha","AUS","3","0","0","0","0","0","0","2","79.5","0","208","180","30","6.93","50","Bowler"
"9","BAT","Travis Head","AUS","69","2645","152","38.33333333","104.05","16","6","24","44.2","17","1060.8","2497","416","2.55","3651","Batsman"
"8.5","BOWL","Adil Rashid","ENG","144","912","69","6.333333333","96.61","1","0","207","22.71","46","4700.97","19998","3333","1.41","6499","Bowler"
"8","BAT","Ben Duckett","ENG","17","732","107","43.05882353","100.13","5","2","0","0","5","0","0","0","0","854","Batsman"
"7","BOWL","Brydon Carse","ENG","20","202","32","10.1","80.15","0","0","23","38.17","6","877.91","1843","307","2.86","861","Bowler"
"7","BOWL","Gus Atkinson","ENG","2","10","6","5","66.66","0","0","3","35","0","105","200","33","3.15","93","Bowler"
"7","BAT","Harry Brook","ENG","21","719","110","34.23809524","106.36","5","1","0","0","2","0","0","0","0","801","Batsman"
"6.5","ALL","Jamie Overton","ENG","2","32","32","16","145.45","0","0","1","17","0","17","145","24","0.7","63","All-rounder"
"6","WK","Jamie Smith","ENG","7","133","49","19","93","0","0","0","0","7","0","0","0","0","189","Wicketkeeper"
"8","ALL","Joe Root","ENG","172","6541","133","38.02906977","86.67","39","16","27","59.14","85","1596.78","2340","390","4.09","8510","All-rounder"
"8","BOWL","Jofra Archer","ENG","28","102","38","3.642857143","100.99","0","0","48","25.41","7","1219.68","4848","808","1.51","1400","Bowler"
"8.5","WK","Jos Buttler","ENG","182","5074","162","27.87912088","116.8","27","11","0","0","222","0","0","0","0","7248","Wicketkeeper"
"7","ALL","Liam Livingstone","ENG","34","849","124","24.97058824","110.69","4","1","21","37.95","14","796.95","2324","387","2.06","1576","All-rounder"
"7.5","BOWL","Mark Wood","ENG","59","168","33","2.847457627","76.06","0","0","71","38","12","2698","5400","900","3","2075","Bowler"
"7.5","WK","Philip Salt","ENG","28","909","122","32.46428571","115.64","5","1","0","0","11","0","0","0","0","1063","Wicketkeeper"
"7.5","BOWL","Saqib Mahmood","ENG","10","22","12","2.2","62.85","0","0","16","26.43","1","422.88","1006","168","2.52","466","Bowler"
"6.5","BAT","Tom Banton","ENG","7","172","58","28.66","92.41","1","0","0","0","4","0","0","0","0","212","Batsman"
