Credits,Abbri-Role,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
6.5,WK,Jaker Ali Anik,BAN,2,151,114,75.5,111.85,1,0,0,0,2,0,0,0,0,185,Wicketkeeper
8.5,ALL,Mehidy Hasan Miraz,BAN,103,1599,112,15.52427184,76.83,6,2,110,36.1,0,3971,8451,1409,2.82,4465,All-rounder
7.5,ALL,Mohammad Mahmudullah,BAN,238,5685,128,36.68,77.71,32,4,82,46.45,82,3809,4380,730,5.22,8753,All-rounder
6,BAT,Mohammad Parvez Hossain-Emon,BAN,3,45,30,15,75,0,0,0,0,0,0,0,0,0,45,Batsman
8,WK,Mushfiqur Rahim,BAN,272,7793,128,28.65073529,79.73,49,9,0,0,242,0,0,0,0,10265,Wicketkeeper
8,BOWL,Mustafizur Rahman,BAN,107,163,20,1.523364486,52.24,0,0,172,25.88,18,4451.36,8985,1498,2.97,4643,Bowler
6,BOWL,Nahid Rana,BAN,3,4,4,1.333333333,80,0,0,4,31.5,2,126,320,53,2.36,140,Bowler
8,BAT,Najmul Hossain Shanto,BAN,47,1488,73,31.65957447,79.95,9,3,1,75,13,75,80,13,5.63,1737,Batsman
7,BOWL,Nasum Ahmed,BAN,18,186,18,10.33333333,90.73,0,0,16,41.12,3,657.92,1452,242,2.72,646,Bowler
6.5,ALL,Rishad- Hossain,BAN,7,55,29,7.857142857,166.66,0,0,5,66.8,4,334,833,139,2.4,260,All-rounder
7,BAT,Soumya Sarkar,BAN,75,2198,169,29.30666667,96.53,13,3,16,35.43,42,566.88,1544,257,2.2,3122,Batsman
7,BAT,Tanzid Hasan,BAN,21,413,92,19.66666667,76.16,0,0,13,31.61,1,410.93,990,165,2.49,782,Batsman
7,BOWL,Tanzim Sakib,BAN,9,95,45,31.67,79.17,0,0,13,31.62,1,411,427,71.1,5.78,470,Bowler
8.5,BOWL,Taskin Ahmed,BAN,77,219,44,2.844155844,57.48,0,0,109,30.01,11,3271.09,6265,1044,3.13,3068,Bowler
7.5,BAT,Tawhid Hridoy,BAN,33,877,144,26.57575758,83.52,7,0,0,0,8,0,0,0,0,997,Batsman
7,BAT,Saud Shakeel,PAK,18,346,68,19.2222222222222,86.07,3,0,1,37,6,37,47,7.5,4.93333333333333,447,Batsman
7,BOWL,Abrar Ahmed,PAK,8,28,23,3.5,155.56,0,0,14,26.86,5,376,456,76,4.94736842105263,470,Bowler
8,ALL,Agha Salman,PAK,34,957,134,28.1470588235294,99.38,5,1,16,45.88,17,734,802,133.4,5.50224887556222,1587,All-rounder
8.5,BAT,Babar Azam,PAK,127,6083,158,47.8976377952756,87.92,35,19,0,0,52,0,0,0,0,7087,Batsman
6.5,ALL,Faheem Ashraf,PAK,34,224,64,6.58823529411765,81.8,0,0,26,46.23,10,1201.98,2127,354,3.39542372881356,990,All-rounder
8,BAT,Fakhar Zaman,PAK,86,3651,210,42.453488372093,93.86,17,11,1,111,43,111,135,22.3,4.97757847533632,4340,Batsman
8,BOWL,Haris Rauf,PAK,47,93,35,1.97872340425532,88.57,0,0,85,26.11,12,2219,2276,379.2,5.85179324894515,2352,Bowler
6.5,BAT,Kamran Ghulam,PAK,10,192,103,19.2,106.66,1,1,1,16,3,16,107,18,0.888888888888889,271,Batsman
6.5,ALL,Khushdil Shah,PAK,14,290,69,20.7142857142857,98.31,1,0,3,96.33,7,289,282,47,6.14893617021277,437,All-rounder
7,BOWL,Mohammad Hasnain,PAK,14,53,28,3.78571428571429,155.88,0,0,17,40.17,3,682.89,2650,442,1.545,550,Bowler
8.5,WK,Mohammad Rizwan,PAK,87,2526,131,29.0344827586207,87.68,15,4,0,0,12,0,0,0,0,2806,Wicketkeeper
7.5,BOWL,Naseem Shah,PAK,24,130,40,5.41666666666667,83.33,0,0,47,23.09,2,1085,1220,203.2,5.33956692913386,1359,Bowler
9,BOWL,Shaheen Afridi,PAK,63,261,25,4.14285714285714,84.46,0,0,125,24.17,15,3021,3240,540,5.59444444444444,3544,Bowler
6.5,BAT,Tayyab Tahir,PAK,7,130,38,18.5714285714286,120.37,0,0,0,0,2,0,0,0,0,152,Batsman
6,WK,Usman Khan,PAK,5,120,50,24,85.71,1,0,0,0,1,0,0,0,0,136,Wicketkeeper
