Credits,Abbri-Role,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
7.5,BOWL,Arshdeep Singh,IND,8,37,18,4.625,112.12,0,0,12,24,1,288,1345,224,1.28571428571429,387,Bowler
8,ALL,Axar Patel,IND,62,628,64,10.1290322580645,94.8,3,0,67,32.64,25,2164.3,6162,1027,2.10740019474197,2563,All-rounder
8.5,ALL,Hardik Pandya,IND,90,1805,92,20.0555555555556,111.15,11,0,87,35.72,36,3108,3337,556.1,5.58892285560151,4400,All-rounder
6.5,BOWL,Harshit Rana,IND,4,13,13,3.25,130,0,0,3,24.33,0,177,170,28.4,6.23239436619718,102,Bowler
8,BOWL,Kuldeep Yadav,IND,107,205,19,1.91588785046729,50.16,0,0,173,26.15,16,4523.95,8736,1456,3.10710851648352,4694,Bowler
7.5,WK,Lokesh Rahul,IND,81,2944,112,36.3456790123457,87.76,18,7,0,0,16,0,0,0,0,3332,Wicketkeeper
8.5,BOWL,Mohammed Shami,IND,104,220,25,2.11538461538462,83.02,0,0,202,23.97,32,4775,5140,856.4,5.57566557683326,5564,Bowler
8,ALL,Ravindra Jadeja,IND,199,2768,87,13.9095477386935,85.16,13,0,223,35.7,74,7961.1,19044,3174,2.50822306238185,9075,All-rounder
7,WK,Rishabh Pant,IND,31,871,125,28.0967741935484,106.21,5,1,0,0,27,0,0,0,0,1149,Wicketkeeper
9,BAT,Rohit Sharma,IND,267,10909,264,40.8576779026217,92.39,57,31,9,59.22,95,532.98,832,139,3.83438848920863,12892,Batsman
8,BAT,Shreyas Iyer,IND,64,2495,113,38.984375,102.14,19,5,0,0,25,0,0,0,0,2937,Batsman
8.5,BAT,Shubman Gill,IND,50,2516,208,50.32,101.3,14,7,0,0,33,0,0,0,0,3014,Batsman
7,BOWL,Varun Chakravarthy,IND,1,0,0,0,0,0,0,1,54,0,54,60,10,5.4,27,Bowler
9,BAT,Virat Kohli,IND,295,13928,183,47.2135593220339,93.54,72,50,5,136,154,680,468,78,8.71794871794872,16701,Batsman
6,ALL,Washington Sundar,IND,22,315,51,14.3181818181818,82.89,1,0,23,27.21,6,625.83,1906,318,1.96801886792453,982,All-rounder
6.5,ALL,Aaron Hardie,AUS,11,134,44,12.18181818,84.81,0,0,7,37.71,4,263.97,594,99,2.67,377,All-rounder
9,BOWL,Adam Zampa,AUS,106,327,36,3.08490566,66.06,0,0,180,28.28,18,5090.4,11891,1982,2.57,5007,Bowler
7,WK,Alex Carey,AUS,76,1978,106,26.02631579,89.66,1,0,0,0,84,0,0,0,0,2658,Wicketkeeper
6.5,BOWL,Ben Dwarshuis,AUS,2,9,9,9,81.81,0,0,5,32.5,0,65,84,14,4.64,174,Bowler
5.5,ALL,Cooper Connolly,AUS,3,10,7,5,31.25,0,0,0,0,0,31,24,4,7.75,10,All-rounder
8.5,ALL,Glenn Maxwell,AUS,145,3950,201,27.24137931,26.35,23,4,75,46.66,89,3499.5,1976,329,10.62,6821,All-rounder
6,BAT,Jake Fraser-McGurk,AUS,6,89,41,14.83,136.92,0,0,0,0,2,0,0,0,0,111,Batsman
7.5,WK,Josh Inglis,AUS,26,521,62,20.03846154,101.75,3,0,0,0,25,0,0,0,0,751,Wicketkeeper
7.5,BAT,Marnus Labuschagne,AUS,42,3785,215,55.07,56.2,14,10,13,40.8,45,530.4,731,122,4.36,4788,Batsman
7,ALL,Matthew Short,AUS,33,915,134,45.75,97.86,5,1,16,44.94,17,719,784,130.4,5.5,1549,All-rounder
7,BOWL,Nathan Ellis,AUS,8,63,18,7.875,108.62,0,0,10,38.84,2,388.4,1086,181,0,371,Bowler
7.5,BOWL,Sean Abbott,AUS,27,372,69,20.67,97.89,2,0,32,37.59,13,1203,1247,207.5,5.79,1330,Bowler
7,BOWL,Spencer Johnson,AUS,3,12,12,12,85.71,0,0,2,66.5,0,133,138,23,5.78,64,Bowler
8.5,BAT,Steven Smith,AUS,102,9320,239,58.61,53.3,36,30,17,46.5,120,790.5,906,151,5.23,11473,Batsman
6,BOWL,Tanveer Sangha,AUS,3,0,0,0,0,0,0,2,79.5,0,208,180,30,6.93,50,Bowler
9,BAT,Travis Head,AUS,69,2645,152,38.33333333,104.05,16,6,24,44.2,17,1060.8,2497,416,2.55,3651,Batsman
