Credits,Abbri-Role,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
6.5,WK,Jaker Ali Anik,BAN,2,151,114,75.5,111.85,1,0,0,0,2,0,0,0,0,185,Wicketkeeper
8.5,ALL,Mehidy Hasan Miraz,BAN,103,1599,112,15.52427184,76.83,6,2,110,36.1,0,3971,8451,1409,2.82,4465,All-rounder
7.5,ALL,Mohammad Mahmudullah,BAN,238,5685,128,36.68,77.71,32,4,82,46.45,82,3809,4380,730,5.22,8753,All-rounder
6,BAT,Mohammad Parvez Hossain-Emon,BAN,3,45,30,15,75,0,0,0,0,0,0,0,0,0,45,Batsman
8,WK,Mushfiqur Rahim,BAN,272,7793,128,28.65073529,79.73,49,9,0,0,242,0,0,0,0,10265,Wicketkeeper
8,BOWL,Mustafizur Rahman,BAN,107,163,20,1.523364486,52.24,0,0,172,25.88,18,4451.36,8985,1498,2.97,4643,Bowler
6,BOWL,Nahid Rana,BAN,3,4,4,1.333333333,80,0,0,4,31.5,2,126,320,53,2.36,140,Bowler
8,BAT,Najmul Hossain Shanto,BAN,47,1488,73,31.65957447,79.95,9,3,1,75,13,75,80,13,5.63,1737,Batsman
7,BOWL,Nasum Ahmed,BAN,18,186,18,10.33333333,90.73,0,0,16,41.12,3,657.92,1452,242,2.72,646,Bowler
6.5,ALL,Rishad- Hossain,BAN,7,55,29,7.857142857,166.66,0,0,5,66.8,4,334,833,139,2.4,260,All-rounder
7,BAT,Soumya Sarkar,BAN,75,2198,169,29.30666667,96.53,13,3,16,35.43,42,566.88,1544,257,2.2,3122,Batsman
7,BAT,Tanzid Hasan,BAN,21,413,92,19.66666667,76.16,0,0,13,31.61,1,410.93,990,165,2.49,782,Batsman
7,BOWL,Tanzim Sakib,BAN,9,95,45,31.67,79.17,0,0,13,31.62,1,411,427,71.1,5.78,470,Bowler
8.5,BOWL,Taskin Ahmed,BAN,77,219,44,2.844155844,57.48,0,0,109,30.01,11,3271.09,6265,1044,3.13,3068,Bowler
7.5,BAT,Tawhid Hridoy,BAN,33,877,144,26.57575758,83.52,7,0,0,0,8,0,0,0,0,997,Batsman
7.5,BOWL,Arshdeep Singh,IND,8,37,18,4.625,112.12,0,0,12,24,1,288,1345,224,1.28,387,Bowler
8,ALL,Axar Patel,IND,61,620,64,10.16393443,94.8,3,0,65,32.64,25,2121.6,6162,1027,2.07,2505,All-rounder
8.5,ALL,Hardik Pandya,IND,87,1778,92,20.43678161,110.5,11,0,84,35.67,33,2996.28,9282,1547,1.94,4272,All-rounder
6.5,BOWL,Harshit Rana,IND,3,13,13,13,130,0,0,6,24.33,0,146,126,21,6.95,205,Bowler
8,BOWL,Kuldeep Yadav,IND,107,205,19,1.91588785,50.16,0,0,173,26.15,16,4523.95,8678,1446,3.13,4694,Bowler
7.5,WK,Lokesh Rahul,IND,80,2903,112,47.59,87.76,18,7,0,0,13,0,0,0,0,3267,Wicketkeeper
8.5,BOWL,Mohammed Shami,IND,103,220,25,7.86,83.02,0,0,197,23.97,31,4722,5080,846.4,5.58,5431,Bowler
8,ALL,Ravindra Jadeja,IND,198,2768,87,13.97979798,85.16,13,0,223,35.7,74,7961.1,18991,3165,2.52,9075,All-rounder
7,WK,Rishabh Pant,IND,31,871,125,28.09677419,106.21,5,1,0,0,27,0,0,0,0,1149,Wicketkeeper
9,BAT,Rohit Sharma,IND,266,10868,264,40.85714286,92.39,57,31,9,59.22,95,532.98,832,139,3.85,12851,Batsman
8,BAT,Shreyas Iyer,IND,63,2480,113,39.36507937,102.14,19,5,0,0,24,0,0,0,0,2914,Batsman
8.5,BAT,Shubman Gill,IND,48,2415,208,50.3125,101.3,14,6,0,0,32,0,0,0,0,2889,Batsman
7,BOWL,Varun Chakravarthy,IND,1,0,0,0,0,0,0,1,54,0,54,60,10,5.4,27,Bowler
9,BAT,Virat Kohli,IND,295,13906,183,47.13898305,93.54,72,50,5,136,152,680,468,78,8.72,16663,Batsman
6,ALL,Washington Sundar,IND,22,315,51,14.31818182,82.89,1,0,23,27.21,6,625.83,1906,318,1.97,982,All-rounder
