Credits,Abbri-Role,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
6.5,WK,Jaker Ali Anik,BAN,2,151,114,75.5,111.85,1,0,0,0,2,0,0,0,0,185,Wicketkeeper
8.5,ALL,Mehidy Hasan Miraz,BAN,103,1599,112,15.52427184,76.83,6,2,110,36.1,0,3971,8451,1409,2.82,4465,All-rounder
7.5,ALL,Mohammad Mahmudullah,BAN,238,5685,128,36.68,77.71,32,4,82,46.45,82,3809,4380,730,5.22,8753,All-rounder
6,BAT,Mohammad Parvez Hossain-Emon,BAN,3,45,30,15,75,0,0,0,0,0,0,0,0,0,45,Batsman
8,WK,Mushfiqur Rahim,BAN,272,7793,128,28.65073529,79.73,49,9,0,0,242,0,0,0,0,10265,Wicketkeeper
8,BOWL,Mustafizur Rahman,BAN,107,163,20,1.523364486,52.24,0,0,172,25.88,18,4451.36,8985,1498,2.97,4643,Bowler
6,BOWL,Nahid Rana,BAN,3,4,4,1.333333333,80,0,0,4,31.5,2,126,320,53,2.36,140,Bowler
8,BAT,Najmul Hossain Shanto,BAN,47,1488,73,31.65957447,79.95,9,3,1,75,13,75,80,13,5.63,1737,Batsman
7,BOWL,Nasum Ahmed,BAN,18,186,18,10.33333333,90.73,0,0,16,41.12,3,657.92,1452,242,2.72,646,Bowler
6.5,ALL,Rishad- Hossain,BAN,7,55,29,7.857142857,166.66,0,0,5,66.8,4,334,833,139,2.4,260,All-rounder
7,BAT,Soumya Sarkar,BAN,75,2198,169,29.30666667,96.53,13,3,16,35.43,42,566.88,1544,257,2.2,3122,Batsman
7,BAT,Tanzid Hasan,BAN,21,413,92,19.66666667,76.16,0,0,13,31.61,1,410.93,990,165,2.49,782,Batsman
7,BOWL,Tanzim Sakib,BAN,9,95,45,31.67,79.17,0,0,13,31.62,1,411,427,71.1,5.78,470,Bowler
8.5,BOWL,Taskin Ahmed,BAN,77,219,44,2.844155844,57.48,0,0,109,30.01,11,3271.09,6265,1044,3.13,3068,Bowler
7.5,BAT,Tawhid Hridoy,BAN,33,877,144,26.57575758,83.52,7,0,0,0,8,0,0,0,0,997,Batsman
8.5,BAT,Daryl Mitchell,NZ,42,1617,129,38.5,97.94,5,6,13,22.15,27,287.95,1273,212,1.36,623,Batsman
8,WK,Devon Conway,NZ,32,1246,152,38.9375,89.73,3,5,0,0,17,0,0,0,0,172,Wicketkeeper
8,ALL,Glenn Phillips,NZ,36,781,108,21.69444444,95.94,4,0,13,42.07,19,546.91,1247,208,2.63,549,All-rounder
6.5,BOWL,Jacob Duffy,NZ,11,9,4,9,56.25,0,0,19,27.1,1,515,490,81.4,6.3,530,Bowler
9,BAT,Kane Williamson,NZ,166,6868,148,41.37349398,81.26,42,13,37,35.41,66,1310.17,3007,501,0,1659,Batsman
6.5,BAT,Mark Chapman,NZ,27,585,124,21.66666667,106.55,3,1,0,0,5,0,0,0,0,73,Batsman
8.5,BOWL,Matt Henry,NZ,85,268,48,3.152941176,93.7,0,0,150,25.43,29,3814.5,14055,2343,1.63,4103,Bowler
7.5,ALL,Michael Bracewell,NZ,23,557,144,24.2173913,114.6,0,2,21,37.52,10,787.92,2407,401,1.96,670,All-rounder
8,ALL,Mitchell Santner,NZ,110,1392,67,12.65454545,90.56,3,0,112,36.98,47,4141.76,10143,1690,2.45,3322,All-rounder
6,BOWL,Nathan Smith,NZ,5,26,17,5.2,66.66,0,0,5,45.2,4,226,333,56,4.07,204,Bowler
8,BAT,Rachin Ravindra,NZ,28,945,49,33.75,109.5,4,3,18,46.61,6,838.98,1971,329,2.55,572,Batsman
7.5,WK,Tom Latham,NZ,149,4100,145,27.51677852,85.64,24,7,0,0,128,0,0,0,0,1173,Wicketkeeper
7,BAT,Will Young,NZ,37,1480,120,40,88.04,10,3,0,0,16,0,0,0,0,169,Batsman
7,BOWL,William O'Rourke,NZ,6,5,3,0.833333333,38.46,0,0,8,31.62,0,252.96,308,51,4.93,246,Bowler
