Credits,Abbri-Role,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
8.5,BAT,Daryl Mitchell,NZ,42,1617,129,38.5,97.94,5,6,13,22.15,27,287.95,1273,212,1.36,623,Batsman
8,WK,Devon Conway,NZ,32,1246,152,38.9375,89.73,3,5,0,0,17,0,0,0,0,172,Wicketkeeper
8,ALL,Glenn Phillips,NZ,36,781,108,21.69444444,95.94,4,0,13,42.07,19,546.91,1247,208,2.63,549,All-rounder
6.5,BOWL,Jacob Duffy,NZ,11,9,4,9,56.25,0,0,19,27.1,1,515,490,81.4,6.3,530,Bowler
9,BAT,Kane Williamson,NZ,166,6868,148,41.37349398,81.26,42,13,37,35.41,66,1310.17,3007,501,0,1659,Batsman
6.5,BAT,Mark Chapman,NZ,27,585,124,21.66666667,106.55,3,1,0,0,5,0,0,0,0,73,Batsman
8.5,BOWL,Matt Henry,NZ,85,268,48,3.152941176,93.7,0,0,150,25.43,29,3814.5,14055,2343,1.63,4103,Bowler
7.5,ALL,Michael Bracewell,NZ,23,557,144,24.2173913,114.6,0,2,21,37.52,10,787.92,2407,401,1.96,670,All-rounder
8,ALL,Mitchell Santner,NZ,110,1392,67,12.65454545,90.56,3,0,112,36.98,47,4141.76,10143,1690,2.45,3322,All-rounder
6,BOWL,Nathan Smith,NZ,5,26,17,5.2,66.66,0,0,5,45.2,4,226,333,56,4.07,204,Bowler
8,BAT,Rachin Ravindra,NZ,28,945,49,33.75,109.5,4,3,18,46.61,6,838.98,1971,329,2.55,572,Batsman
7.5,WK,Tom Latham,NZ,149,4100,145,27.51677852,85.64,24,7,0,0,128,0,0,0,0,1173,Wicketkeeper
7,BAT,Will Young,NZ,37,1480,120,40,88.04,10,3,0,0,16,0,0,0,0,169,Batsman
7,BOWL,William O'Rourke,NZ,6,5,3,0.833333333,38.46,0,0,8,31.62,0,252.96,308,51,4.93,246,Bowler
8,ALL,Aiden Markram,SA,74,2288,175,30.91891892,96.49,11,3,20,49.7,32,994,1930,322,3.09,3220,All-rounder
6.5,ALL,Corbin Bosch,SA,2,55,40,81,103.77,0,0,2,69.5,0,139,102,17,8.18,115,All-rounder
7.5,BAT,David Miller,SA,175,4490,139,25.65714286,102.98,24,6,0,0,87,0,0,0,0,5480,Batsman
9,WK,Heinrich Klaasen,SA,57,1987,174,34.85964912,116.69,9,4,0,0,48,0,0,0,0,2517,Wicketkeeper
9,BOWL,Kagiso Rabada,SA,103,385,31,3.737864078,79.38,0,0,162,27.56,39,4464.72,12860,2143,2.08,4783,Bowler
8,BOWL,Keshav Maharaj,SA,27,183,31,6.777777778,72.22,0,0,29,31,7,899,2094,349,2.58,1000,Bowler
7,BOWL,Lungi Ngidi,SA,62,123,20,1.983870968,52.56,0,0,96,28.42,15,2728.32,5046,841,3.24,2679,Bowler
8.5,ALL,Marco Jansen,SA,26,461,75,17.73076923,107.71,1,0,42,32,8,1312,4416,736,1.78,1625,All-rounder
8,BAT,Rassie van der-Dussen,SA,68,2464,134,36.23529412,86.33,14,6,1,3,29,3,86,14,0.21,2933,Batsman
7,WK,Ryan Rickelton,SA,6,291,91,31.33333333,89.52,1,0,0,0,6,0,0,0,0,351,Wicketkeeper
6.5,BOWL,Tabraiz Shamsi,SA,53,39,11,0.735849057,56.52,0,0,73,32.8,9,2394.4,4126,688,3.48,1972,Bowler
8,BAT,Temba Bavuma,SA,44,1631,144,37.06818182,88.68,4,5,0,0,28,0,0,0,0,1971,Batsman
6.5,BAT,Tony de Zorzi,SA,12,449,119,37.41666667,94.72,1,1,0,0,0,0,0,0,0,477,Batsman
7.5,BAT,Tristan Stubbs,SA,8,249,112,31.125,89.89,1,1,0,0,2,0,0,0,0,293,Batsman
7,ALL,Wiaan Mulder,SA,20,202,52,9.5,76.92,1,0,16,39.5,7,553,1077,179,3.08,702,All-rounder
